"","Country","SubRegion","X2020","X2021","Region","big2021","top10","top20"
"60","Georgia","Eastern Europe",287.9,302.1,"Europe","TRUE",FALSE,FALSE
"62","Ghana","sub-Saharan Africa",239.9,298.3,"Africa","TRUE",FALSE,FALSE
"176","Zambia","sub-Saharan Africa",212.1,282.6,"Africa","TRUE",FALSE,FALSE
"1","Afghanistan","South Asia",279.6,278.3,"AsiaOceania","FALSE",FALSE,FALSE
"107","Mozambique","sub-Saharan Africa",288.3,248.5,"Africa","FALSE",FALSE,FALSE
"66","Guinea","sub-Saharan Africa",207,244.6,"Africa","TRUE",FALSE,FALSE
"2","Albania","Central Europe",187.4,236.4,"Europe","TRUE",FALSE,FALSE
"101","Mauritania","sub-Saharan Africa",198.5,230.9,"Africa","TRUE",FALSE,FALSE
"80","Jamaica","Central America and the Caribbean",236.9,209.8,"Central America","FALSE",FALSE,FALSE
"160","Trinidad and Tobago","Central America and the Caribbean",171.3,207.7,"Central America","TRUE",FALSE,FALSE
"116","Niger","sub-Saharan Africa",238.3,202.4,"Africa","FALSE",FALSE,FALSE
"134","Rwanda","sub-Saharan Africa",147.9,164,"Africa","TRUE",FALSE,FALSE
"159","Togo","sub-Saharan Africa",163.9,113.9,"Africa","FALSE",FALSE,FALSE
"143","Somalia","sub-Saharan Africa",98.2,113.5,"Africa","TRUE",FALSE,FALSE
"104","Mongolia","East Asia",112.2,108.3,"AsiaOceania","FALSE",FALSE,FALSE
"97","Madagascar","sub-Saharan Africa",87.4,99.2,"Africa","TRUE",FALSE,FALSE
"105","Montenegro","Central Europe",83,98.6,"Europe","TRUE",FALSE,FALSE
"16","Benin","sub-Saharan Africa",71.8,97.4,"Africa","TRUE",FALSE,FALSE
"124","Papua New Guinea","Oceania",85.9,88.7,"AsiaOceania","TRUE",FALSE,FALSE
"98","Malawi","sub-Saharan Africa",89.4,83.3,"Africa","FALSE",FALSE,FALSE
"155","Tajikistan","Central Asia",80.4,81.7,"AsiaOceania","TRUE",FALSE,FALSE
"85","Kosovo","Central Europe",79,79.6,"Europe","TRUE",FALSE,FALSE
